NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;CITY;FROST_DAYS;ICE_DAYS;SUMMER_DAYS;HEAT_DAYS;SUNSHINE_DURATION;UNIT_SD;RELATIVE_SUNSHINE_DURATION;HEATING_DEGREE_DAYS;UNIT_HDD;MEAN_TEMPERTURE;UNIT_TEMP;MEAN_HEATING_DEGREE_DAYS;MEAN_TEMPERATURE_FROM1995
AT1;AT13;AT130;90001;0;1992;2018;Wien;52;10;61;26;1939;h;45,00%;2.917,70;Kd;11,1;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1993;2018;Wien;87;31;63;15;1976;h;46,00%;3.098,20;Kd;10,8;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1994;2018;Wien;43;10;75;28;2053;h;48,00%;2.763,10;Kd;11,8;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1995;2018;Wien;74;21;64;15;1868;h;44,00%;3.025,10;Kd;10,4;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1996;2018;Wien;97;49;45;6;1803;h;42,00%;3.477,00;Kd;8,9;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1997;2018;Wien;70;20;63;3;2049;h;48,00%;3.168,80;Kd;10;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1998;2018;Wien;76;20;65;20;1978;h;46,00%;2.841,60;Kd;10,8;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;1999;2018;Wien;70;21;58;9;1960;h;46,00%;2.841,10;Kd;10,7;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2000;2018;Wien;45;17;71;26;2113;h;49,00%;2.551,00;Kd;11,7;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2001;2018;Wien;71;15;66;21;1912;h;45,00%;2.843,60;Kd;10,6;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2002;2018;Wien;54;24;77;18;1998;h;47,00%;2.785,90;Kd;11,3;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2003;2018;Wien;88;22;102;40;2305;h;54,00%;3.033,30;Kd;11;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2004;2018;Wien;74;20;54;9;1939;h;45,00%;2.846,50;Kd;10,4;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2005;2018;Wien;82;25;65;12;2107;h;49,00%;3.071,10;Kd;10,2;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2006;2018;Wien;79;23;61;22;2228;h;52,00%;2.855,30;Kd;10,7;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2007;2018;Wien;40;16;84;22;2203;h;52,00%;2.657,10;Kd;11,7;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2008;2018;Wien;47;8;74;8;2038;h;48,00%;2.689,00;Kd;11,4;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2009;2018;Wien;57;25;74;14;2032;h;48,00%;2.821,90;Kd;11;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2010;2018;Wien;86;35;56;15;1882;h;44,00%;3.211,60;Kd;9,9;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2011;2018;Wien;68;12;77;18;2242;h;52,00%;2.828,10;Kd;11,1;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2012;2018;Wien;59;19;89;31;2205;h;52,00%;2.938,80;Kd;11,3;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2013;2018;Wien;67;17;68;26;1993;h;47,00%;2.945,30;Kd;10,9;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2014;2018;Wien;30;10;60;13;1967;h;46,00%;2.303,10;Kd;12;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2015;2018;Wien;41;2;78;42;2115;h;49,00%;2.594,30;Kd;12,1;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2016;2018;Wien;51;13;85;20;2069;h;48,00%;2.784,20;Kd;11,5;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2017;2018;Wien;57;21;85;38;2164;h;50,00%;2.718,10;Kd;11,6;°C;2849,60;10,98
AT1;AT13;AT130;90001;0;2018;2018;Wien;54;13;113;37;2188;h;51,00%;2.558,50;Kd;12,4;°C;2849,60;10,98
